LAD_CODE,RESULT
E07000077,"[
  {
    ""latitude"": 51.9748,
    ""longitude"": 0.2632,
    ""name"": ""Uttlesford""
  },
  {
    ""latitude"": 52.0254,
    ""longitude"": 0.241,
    ""name"": ""Saffron Walden""
  },
  {
    ""latitude"": 51.8719,
    ""longitude"": 0.3681,
    ""name"": ""Great Dunmow""
  },
  {
    ""latitude"": 51.9021,
    ""longitude"": 0.2008,
    ""name"": ""Stansted Mountfitchet""
  },
  {
    ""latitude"": 51.9539,
    ""longitude"": 0.3434,
    ""name"": ""Thaxted""
  },
  {
    ""latitude"": 51.9803,
    ""longitude"": 0.2136,
    ""name"": ""Newport""
  },
  {
    ""latitude"": 51.9125,
    ""longitude"": 0.2261,
    ""name"": ""Elsenham""
  },
  {
    ""latitude"": 51.8728,
    ""longitude"": 0.2683,
    ""name"": ""Takeley""
  },
  {
    ""latitude"": 51.8431,
    ""longitude"": 0.4233,
    ""name"": ""Felsted""
  },
  {
    ""latitude"": 51.8178,
    ""longitude"": 0.2233,
    ""name"": ""Hatfield Heath""
  }
]"
E07000078,"[
  {
    ""latitude"": 51.7361,
    ""longitude"": 0.4735,
    ""name"": ""Chelmsford""
  },
  {
    ""latitude"": 51.6433,
    ""longitude"": 0.6012,
    ""name"": ""South Woodham Ferrers""
  },
  {
    ""latitude"": 51.7167,
    ""longitude"": 0.4872,
    ""name"": ""Great Baddow""
  },
  {
    ""latitude"": 51.7333,
    ""longitude"": 0.4278,
    ""name"": ""Writtle""
  },
  {
    ""latitude"": 51.7583,
    ""longitude"": 0.4667,
    ""name"": ""Broomfield""
  },
  {
    ""latitude"": 51.7417,
    ""longitude"": 0.4917,
    ""name"": ""Springfield""
  },
  {
    ""latitude"": 51.7083,
    ""longitude"": 0.475,
    ""name"": ""Galleywood""
  },
  {
    ""latitude"": 51.7167,
    ""longitude"": 0.5833,
    ""name"": ""Danbury""
  },
  {
    ""latitude"": 51.6667,
    ""longitude"": 0.5667,
    ""name"": ""Bicknacre""
  },
  {
    ""latitude"": 51.6833,
    ""longitude"": 0.5333,
    ""name"": ""Stock""
  }
]"
E09000010,"[
  {
    ""latitude"": 51.5464,
    ""longitude"": -0.0553,
    ""name"": ""Hackney Central""
  },
  {
    ""latitude"": 51.5461,
    ""longitude"": -0.0748,
    ""name"": ""Dalston""
  },
  {
    ""latitude"": 51.5624,
    ""longitude"": -0.0793,
    ""name"": ""Stoke Newington""
  },
  {
    ""latitude"": 51.5273,
    ""longitude"": -0.0786,
    ""name"": ""Shoreditch""
  },
  {
    ""latitude"": 51.5486,
    ""longitude"": -0.0428,
    ""name"": ""Homerton""
  },
  {
    ""latitude"": 51.5612,
    ""longitude"": -0.0536,
    ""name"": ""Clapton""
  },
  {
    ""latitude"": 51.5367,
    ""longitude"": -0.0761,
    ""name"": ""Haggerston""
  },
  {
    ""latitude"": 51.5311,
    ""longitude"": -0.0833,
    ""name"": ""Hoxton""
  },
  {
    ""latitude"": 51.5747,
    ""longitude"": -0.0775,
    ""name"": ""Stamford Hill""
  },
  {
    ""latitude"": 51.5419,
    ""longitude"": -0.0614,
    ""name"": ""London Fields""
  }
]"
E09000011,"[
  {
    ""latitude"": 51.4826,
    ""longitude"": -0.0127,
    ""name"": ""Greenwich""
  },
  {
    ""latitude"": 51.4892,
    ""longitude"": 0.0648,
    ""name"": ""Woolwich""
  },
  {
    ""latitude"": 51.4513,
    ""longitude"": 0.0538,
    ""name"": ""Eltham""
  },
  {
    ""latitude"": 51.4847,
    ""longitude"": 0.0372,
    ""name"": ""Charlton""
  },
  {
    ""latitude"": 51.4669,
    ""longitude"": -0.0083,
    ""name"": ""Blackheath""
  },
  {
    ""latitude"": 51.4792,
    ""longitude"": 0.0833,
    ""name"": ""Plumstead""
  },
  {
    ""latitude"": 51.5042,
    ""longitude"": 0.1167,
    ""name"": ""Thamesmead""
  },
  {
    ""latitude"": 51.4908,
    ""longitude"": 0.1208,
    ""name"": ""Abbey Wood""
  },
  {
    ""latitude"": 51.4583,
    ""longitude"": 0.0333,
    ""name"": ""Kidbrooke""
  },
  {
    ""latitude"": 51.45,
    ""longitude"": 0.0167,
    ""name"": ""Lee""
  }
]"
E09000012,"[
  {
    ""latitude"": 51.5464,
    ""longitude"": -0.0553,
    ""name"": ""Hackney Central""
  },
  {
    ""latitude"": 51.5461,
    ""longitude"": -0.0753,
    ""name"": ""Dalston""
  },
  {
    ""latitude"": 51.5626,
    ""longitude"": -0.0792,
    ""name"": ""Stoke Newington""
  },
  {
    ""latitude"": 51.5273,
    ""longitude"": -0.0787,
    ""name"": ""Shoreditch""
  },
  {
    ""latitude"": 51.5486,
    ""longitude"": -0.0428,
    ""name"": ""Homerton""
  },
  {
    ""latitude"": 51.5584,
    ""longitude"": -0.0536,
    ""name"": ""Clapton""
  },
  {
    ""latitude"": 51.5423,
    ""longitude"": -0.0242,
    ""name"": ""Hackney Wick""
  },
  {
    ""latitude"": 51.5365,
    ""longitude"": -0.0761,
    ""name"": ""Haggerston""
  },
  {
    ""latitude"": 51.5747,
    ""longitude"": -0.0775,
    ""name"": ""Stamford Hill""
  },
  {
    ""latitude"": 51.5414,
    ""longitude"": -0.0584,
    ""name"": ""London Fields""
  }
]"
E09000013,"[
  {
    ""latitude"": 51.4936,
    ""longitude"": -0.2245,
    ""name"": ""Hammersmith""
  },
  {
    ""latitude"": 51.4756,
    ""longitude"": -0.2008,
    ""name"": ""Fulham""
  },
  {
    ""latitude"": 51.5043,
    ""longitude"": -0.2277,
    ""name"": ""Shepherd's Bush""
  },
  {
    ""latitude"": 51.5126,
    ""longitude"": -0.2241,
    ""name"": ""White City""
  },
  {
    ""latitude"": 51.4907,
    ""longitude"": -0.2089,
    ""name"": ""West Kensington""
  },
  {
    ""latitude"": 51.4938,
    ""longitude"": -0.2372,
    ""name"": ""Ravenscourt Park""
  },
  {
    ""latitude"": 51.4861,
    ""longitude"": -0.2134,
    ""name"": ""Baron's Court""
  },
  {
    ""latitude"": 51.4977,
    ""longitude"": -0.2193,
    ""name"": ""Brook Green""
  },
  {
    ""latitude"": 51.4698,
    ""longitude"": -0.1986,
    ""name"": ""Parsons Green""
  },
  {
    ""latitude"": 51.4677,
    ""longitude"": -0.1879,
    ""name"": ""Sands End""
  }
]"
E09000014,"[
  {
    ""latitude"": 51.5906,
    ""longitude"": -0.1085,
    ""name"": ""Haringey""
  },
  {
    ""latitude"": 51.5973,
    ""longitude"": -0.1097,
    ""name"": ""Wood Green""
  },
  {
    ""latitude"": 51.5907,
    ""longitude"": -0.0724,
    ""name"": ""Tottenham""
  },
  {
    ""latitude"": 51.5839,
    ""longitude"": -0.1218,
    ""name"": ""Hornsey""
  },
  {
    ""latitude"": 51.5905,
    ""longitude"": -0.1425,
    ""name"": ""Muswell Hill""
  },
  {
    ""latitude"": 51.5786,
    ""longitude"": -0.1252,
    ""name"": ""Crouch End""
  },
  {
    ""latitude"": 51.5812,
    ""longitude"": -0.1006,
    ""name"": ""Harringay""
  },
  {
    ""latitude"": 51.5941,
    ""longitude"": -0.1304,
    ""name"": ""Alexandra Palace""
  },
  {
    ""latitude"": 51.5823,
    ""longitude"": -0.0748,
    ""name"": ""Seven Sisters""
  },
  {
    ""latitude"": 51.5765,
    ""longitude"": -0.0971,
    ""name"": ""Green Lanes""
  }
]"
E09000015,"[
  {
    ""latitude"": 51.589,
    ""longitude"": -0.3335,
    ""name"": ""Harrow""
  },
  {
    ""latitude"": 51.572,
    ""longitude"": -0.337,
    ""name"": ""Harrow on the Hill""
  },
  {
    ""latitude"": 51.619,
    ""longitude"": -0.303,
    ""name"": ""Stanmore""
  },
  {
    ""latitude"": 51.593,
    ""longitude"": -0.381,
    ""name"": ""Pinner""
  },
  {
    ""latitude"": 51.592,
    ""longitude"": -0.335,
    ""name"": ""Wealdstone""
  },
  {
    ""latitude"": 51.613,
    ""longitude"": -0.275,
    ""name"": ""Edgware""
  },
  {
    ""latitude"": 51.575,
    ""longitude"": -0.371,
    ""name"": ""Rayners Lane""
  },
  {
    ""latitude"": 51.567,
    ""longitude"": -0.352,
    ""name"": ""South Harrow""
  },
  {
    ""latitude"": 51.582,
    ""longitude"": -0.317,
    ""name"": ""Kenton""
  },
  {
    ""latitude"": 51.585,
    ""longitude"": -0.362,
    ""name"": ""North Harrow""
  }
]"
E09000016,"[
  {
    ""latitude"": 51.4415,
    ""longitude"": -0.0209,
    ""name"": ""Lewisham""
  },
  {
    ""latitude"": 51.4453,
    ""longitude"": -0.0228,
    ""name"": ""Catford""
  },
  {
    ""latitude"": 51.4793,
    ""longitude"": -0.0265,
    ""name"": ""Deptford""
  },
  {
    ""latitude"": 51.4392,
    ""longitude"": -0.0532,
    ""name"": ""Forest Hill""
  },
  {
    ""latitude"": 51.4646,
    ""longitude"": -0.0372,
    ""name"": ""Brockley""
  },
  {
    ""latitude"": 51.4269,
    ""longitude"": -0.0543,
    ""name"": ""Sydenham""
  },
  {
    ""latitude"": 51.4762,
    ""longitude"": -0.0319,
    ""name"": ""New Cross""
  },
  {
    ""latitude"": 51.4512,
    ""longitude"": 0.0126,
    ""name"": ""Lee""
  },
  {
    ""latitude"": 51.4655,
    ""longitude"": -0.0083,
    ""name"": ""Blackheath""
  },
  {
    ""latitude"": 51.4507,
    ""longitude"": -0.0024,
    ""name"": ""Hither Green""
  }
]"
E09000017,"[
  {
    ""latitude"": 51.589,
    ""longitude"": -0.3335,
    ""name"": ""Harrow""
  },
  {
    ""latitude"": 51.572,
    ""longitude"": -0.337,
    ""name"": ""Harrow on the Hill""
  },
  {
    ""latitude"": 51.5578,
    ""longitude"": -0.3521,
    ""name"": ""South Harrow""
  },
  {
    ""latitude"": 51.5942,
    ""longitude"": -0.3622,
    ""name"": ""North Harrow""
  },
  {
    ""latitude"": 51.6167,
    ""longitude"": -0.3167,
    ""name"": ""Stanmore""
  },
  {
    ""latitude"": 51.5929,
    ""longitude"": -0.3812,
    ""name"": ""Pinner""
  },
  {
    ""latitude"": 51.5928,
    ""longitude"": -0.3354,
    ""name"": ""Wealdstone""
  },
  {
    ""latitude"": 51.6132,
    ""longitude"": -0.2747,
    ""name"": ""Edgware""
  },
  {
    ""latitude"": 51.5753,
    ""longitude"": -0.3715,
    ""name"": ""Rayners Lane""
  },
  {
    ""latitude"": 51.6062,
    ""longitude"": -0.3687,
    ""name"": ""Hatch End""
  }
]"
E09000018,"[
  {
    ""latitude"": 51.4415,
    ""longitude"": -0.0209,
    ""name"": ""Lewisham""
  },
  {
    ""latitude"": 51.4453,
    ""longitude"": -0.0228,
    ""name"": ""Catford""
  },
  {
    ""latitude"": 51.4791,
    ""longitude"": -0.0265,
    ""name"": ""Deptford""
  },
  {
    ""latitude"": 51.4396,
    ""longitude"": -0.0532,
    ""name"": ""Forest Hill""
  },
  {
    ""latitude"": 51.4646,
    ""longitude"": -0.0372,
    ""name"": ""Brockley""
  },
  {
    ""latitude"": 51.4756,
    ""longitude"": -0.0322,
    ""name"": ""New Cross""
  },
  {
    ""latitude"": 51.4269,
    ""longitude"": -0.0546,
    ""name"": ""Sydenham""
  },
  {
    ""latitude"": 51.4509,
    ""longitude"": 0.0087,
    ""name"": ""Lee""
  },
  {
    ""latitude"": 51.4655,
    ""longitude"": -0.0083,
    ""name"": ""Blackheath""
  },
  {
    ""latitude"": 51.452,
    ""longitude"": -0.0024,
    ""name"": ""Hither Green""
  }
]"
E09000019,"[
  {
    ""latitude"": 51.5362,
    ""longitude"": -0.1071,
    ""name"": ""Islington""
  },
  {
    ""latitude"": 51.5642,
    ""longitude"": -0.1066,
    ""name"": ""Finsbury Park""
  },
  {
    ""latitude"": 51.5481,
    ""longitude"": -0.1031,
    ""name"": ""Highbury""
  },
  {
    ""latitude"": 51.5329,
    ""longitude"": -0.1058,
    ""name"": ""Angel""
  },
  {
    ""latitude"": 51.5566,
    ""longitude"": -0.1156,
    ""name"": ""Holloway""
  },
  {
    ""latitude"": 51.5657,
    ""longitude"": -0.1347,
    ""name"": ""Archway""
  },
  {
    ""latitude"": 51.5414,
    ""longitude"": -0.0922,
    ""name"": ""Canonbury""
  },
  {
    ""latitude"": 51.5378,
    ""longitude"": -0.1147,
    ""name"": ""Barnsbury""
  },
  {
    ""latitude"": 51.5235,
    ""longitude"": -0.1055,
    ""name"": ""Clerkenwell""
  },
  {
    ""latitude"": 51.5584,
    ""longitude"": -0.1382,
    ""name"": ""Tufnell Park""
  }
]"
E09000020,"[
  {
    ""latitude"": 51.5009,
    ""longitude"": -0.1927,
    ""name"": ""Kensington""
  },
  {
    ""latitude"": 51.4875,
    ""longitude"": -0.1762,
    ""name"": ""Chelsea""
  },
  {
    ""latitude"": 51.5112,
    ""longitude"": -0.2066,
    ""name"": ""Notting Hill""
  },
  {
    ""latitude"": 51.4907,
    ""longitude"": -0.1932,
    ""name"": ""Earl's Court""
  },
  {
    ""latitude"": 51.4941,
    ""longitude"": -0.1764,
    ""name"": ""South Kensington""
  },
  {
    ""latitude"": 51.5046,
    ""longitude"": -0.2058,
    ""name"": ""Holland Park""
  },
  {
    ""latitude"": 51.5015,
    ""longitude"": -0.1627,
    ""name"": ""Knightsbridge""
  },
  {
    ""latitude"": 51.4847,
    ""longitude"": -0.195,
    ""name"": ""West Brompton""
  },
  {
    ""latitude"": 51.5204,
    ""longitude"": -0.2137,
    ""name"": ""North Kensington""
  },
  {
    ""latitude"": 51.5165,
    ""longitude"": -0.2106,
    ""name"": ""Ladbroke Grove""
  }
]"
E08000012,"[
  {
    ""latitude"": 53.4084,
    ""longitude"": -2.9916,
    ""name"": ""Liverpool City Centre""
  },
  {
    ""latitude"": 53.3889,
    ""longitude"": -2.9697,
    ""name"": ""Toxteth""
  },
  {
    ""latitude"": 53.4009,
    ""longitude"": -2.9214,
    ""name"": ""Wavertree""
  },
  {
    ""latitude"": 53.4308,
    ""longitude"": -2.9608,
    ""name"": ""Anfield""
  },
  {
    ""latitude"": 53.4233,
    ""longitude"": -2.9686,
    ""name"": ""Everton""
  },
  {
    ""latitude"": 53.3764,
    ""longitude"": -2.9097,
    ""name"": ""Allerton""
  },
  {
    ""latitude"": 53.3467,
    ""longitude"": -2.8444,
    ""name"": ""Speke""
  },
  {
    ""latitude"": 53.4486,
    ""longitude"": -2.8986,
    ""name"": ""Croxteth""
  },
  {
    ""latitude"": 53.4456,
    ""longitude"": -2.9519,
    ""name"": ""Walton""
  },
  {
    ""latitude"": 53.3833,
    ""longitude"": -2.9167,
    ""name"": ""Mossley Hill""
  }
]"
E08000013,"[
  {
    ""latitude"": 53.456,
    ""longitude"": -2.7348,
    ""name"": ""St Helens""
  },
  {
    ""latitude"": 53.467,
    ""longitude"": -2.668,
    ""name"": ""Haydock""
  },
  {
    ""latitude"": 53.453,
    ""longitude"": -2.635,
    ""name"": ""Newton-le-Willows""
  },
  {
    ""latitude"": 53.5,
    ""longitude"": -2.72,
    ""name"": ""Billinge""
  },
  {
    ""latitude"": 53.503,
    ""longitude"": -2.783,
    ""name"": ""Rainford""
  },
  {
    ""latitude"": 53.443,
    ""longitude"": -2.765,
    ""name"": ""Eccleston""
  },
  {
    ""latitude"": 53.438,
    ""longitude"": -2.715,
    ""name"": ""Sutton""
  },
  {
    ""latitude"": 53.44,
    ""longitude"": -2.75,
    ""name"": ""Thatto Heath""
  },
  {
    ""latitude"": 53.413,
    ""longitude"": -2.765,
    ""name"": ""Rainhill""
  },
  {
    ""latitude"": 53.42,
    ""longitude"": -2.7,
    ""name"": ""Clock Face""
  }
]"
E08000014,"[
  {
    ""latitude"": 53.5034,
    ""longitude"": -3.0076,
    ""name"": ""Sefton""
  },
  {
    ""latitude"": 53.6474,
    ""longitude"": -3.008,
    ""name"": ""Southport""
  },
  {
    ""latitude"": 53.4472,
    ""longitude"": -2.9916,
    ""name"": ""Bootle""
  },
  {
    ""latitude"": 53.556,
    ""longitude"": -3.0643,
    ""name"": ""Formby""
  },
  {
    ""latitude"": 53.4766,
    ""longitude"": -3.0356,
    ""name"": ""Crosby""
  },
  {
    ""latitude"": 53.5207,
    ""longitude"": -2.9401,
    ""name"": ""Maghull""
  },
  {
    ""latitude"": 53.4644,
    ""longitude"": -2.9992,
    ""name"": ""Litherland""
  },
  {
    ""latitude"": 53.4672,
    ""longitude"": -3.0261,
    ""name"": ""Waterloo""
  },
  {
    ""latitude"": 53.478,
    ""longitude"": -2.9491,
    ""name"": ""Aintree""
  },
  {
    ""latitude"": 53.5242,
    ""longitude"": -3.0707,
    ""name"": ""Hightown""
  }
]"
